date,orders,gmv,active_users,weather,delivery_on_time,cancel_rate,rider_accept_time,ad_spend,ad_roi,cs_tickets
2026-02-15,1860,102500,12400,多云,98.5%,0.5%,45s,5000,3.2,120
2026-02-16,1925,106800,12620,晴,98.2%,0.6%,48s,5200,3.3,135
2026-02-17,2010,110200,12850,晴,97.8%,0.8%,52s,5500,3.1,142
2026-02-18,1895,103400,12310,阴,98.0%,0.7%,50s,5100,3.2,128
2026-02-19,1760,98400,11890,小雨,95.5%,1.2%,65s,4800,3.0,156
2026-02-20,1835,101600,12140,阴,96.8%,0.9%,55s,5000,3.1,130
2026-02-21,1968,108900,12920,多云,97.5%,0.8%,53s,5300,3.2,138
2026-02-22,2075,113700,13310,晴,98.1%,0.6%,46s,6000,3.5,145
2026-02-23,2140,117500,13680,晴,97.9%,0.7%,49s,6500,3.4,150
2026-02-24,2055,112900,13240,阵雨,96.2%,1.1%,60s,5800,3.1,165
2026-02-25,1980,109300,12910,多云,97.4%,0.8%,51s,5400,3.2,140
2026-02-26,2105,115800,13570,阴,97.6%,0.7%,50s,6200,3.3,148
2026-02-27,2230,120000,14230,晴,98.3%,0.5%,42s,8000,3.8,160
2026-02-28,1785,96000,11980,红色暴雨预警,82.0%,8.5%,180s,3000,1.5,450
2026-03-01,1920,105600,12500,阴,92.5%,3.2%,120s,4500,2.8,280
2026-03-02,2050,112800,13100,多云,95.8%,1.5%,65s,5500,3.0,190
2026-03-03,2180,119900,13850,晴,97.2%,0.8%,52s,6800,3.3,155
2026-03-04,2350,135000,14900,晴,97.5%,0.6%,50s,12000,2.5,160
2026-03-05,2480,148800,15800,晴,96.8%,0.9%,58s,15000,2.3,185
2026-03-06,2650,165000,17200,多云,95.5%,1.2%,65s,18000,2.1,220
2026-03-07,2800,182000,18500,阴,94.2%,1.8%,75s,20000,2.0,260
2026-03-08,3500,245000,22800,晴,88.5%,4.5%,130s,25000,2.2,580
